Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-29,12.554901758659954,13.56779710345777,12.529891124725586,13.017581939697266,371100,0.0,0.0
2001-11-30,13.017583961535763,13.380226135253904,13.017583961535763,13.380226135253906,165300,0.0,0.0
2001-12-03,13.34896243599588,13.34896243599588,12.92692279815674,12.926922798156738,127500,0.0,0.0
2001-12-04,12.926919237647883,12.926919237647883,12.411092758178711,12.411092758178711,95400,0.0,0.0
2001-12-05,12.598670093631837,13.864789002085072,12.598670093631837,13.755372047424316,598200,0.0,0.0
2001-12-06,13.817896565874852,13.817896565874852,13.664712102113905,13.667838096618652,157200,0.0,0.0
2001-12-07,13.677215929842255,13.755372047424316,13.567798975181498,13.755372047424316,215100,0.0,0.0
2001-12-10,13.724111703308589,13.730364587299114,13.680345093051345,13.708480834960938,119100,0.0,0.0
2001-12-11,13.692846591060304,13.79601154890938,13.680341720581055,13.680341720581055,378600,0.0,0.0
2001-12-12,13.677215499819926,13.677215499819926,13.164515785142573,13.22391414642334,114600,0.0,0.0
2001-12-13,13.20827957594628,13.380222634862696,13.098862648010254,13.098862648010254,113700,0.0,0.0
2001-12-14,13.083231284587898,13.083231284587898,12.676823495662783,12.783114433288574,233400,0.0,0.0
2001-12-17,12.814382761557631,13.130131532386883,12.814382761557631,12.817509651184082,106200,0.0,0.0
2001-12-18,12.833140521639415,13.005082779905763,12.817509651184082,12.817509651184082,101400,0.0,0.0
2001-12-19,12.817503787879012,12.833134651184082,12.736221688738773,12.833134651184082,157800,0.0,0.0
2001-12-20,12.880028849828424,13.345835968733635,12.880028849828424,13.22391414642334,97200,0.0,0.0
2001-12-21,13.302067231872405,14.349351135547021,13.286436369124099,14.17428207397461,659400,0.0,0.0
2001-12-24,14.161778173608976,14.396244693738803,14.130515553529563,14.318089485168457,50700,0.0,0.0
2001-12-26,14.349348745713339,14.680727273997656,14.31808702542326,14.380610466003418,378000,0.0,0.0
2001-12-27,14.771389727154077,14.896438409821243,14.443136264338715,14.677602767944336,349200,0.0,0.0
2001-12-28,14.755761577053574,14.755761577053574,14.661975489342904,14.708868980407715,295500,0.0,0.0
